title,price,listing_link
"Pumpkin Bow Tote, Fall Bag, Shoulder Bag, Pumpkin, Fall Tote, Halloween, Gift Under 50, Autumn Tote, Gift For Friend, Travel Bag","Sale Price $37.50
$37.50
$50.00
Original Price $50.00
(25% off)",https://www.etsy.com/listing/1300063422/pumpkin-bow-tote-fall-bag-shoulder-bag?click_key=23032f0d06152f4a5d1b36599f1c61ab16a4ff80%3A1300063422&click_sum=db51fe58&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=busybabeshoppe+tote&ref=search_grid-165451-1-1&pro=1&frs=1&sts=1
"Hippie Diaper Bag, Unique Gift, Tie Dye Baby, Girl Purse, Peace Sign Tote, Psychedelic Bag, Sixties Birthday, Flower Child, Flower Power","Sale Price $52.50
$52.50
$70.00
Original Price $70.00
(25% off)",https://www.etsy.com/listing/589497516/hippie-diaper-bag-unique-gift-tie-dye?click_key=cd9b9bbeb50cbb112b5ec387242cd18c183ce4d2%3A589497516&click_sum=2d16273c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=busybabeshoppe+tote&ref=search_grid-165451-1-2&pro=1&frs=1&sts=1
Waxed Canvas and Boho Rainbow Tote Large Purse Handbag,$65.00,https://www.etsy.com/listing/1506062832/waxed-canvas-and-boho-rainbow-tote-large?click_key=ab85b73dea46f1e512394725bccc18cf3cec2f31%3A1506062832&click_sum=247cb270&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=busybabeshoppe+tote&ref=search_grid-165451-1-3&frs=1
126.Canvas shoulder bag- canvas tote bag- corduroy tote bag- corduroy bag- nylon shoulder bag- canvas bags women- cotton shoulder bag- gifts,"Sale Price $21.45
$21.45
$53.61
Original Price $53.61
(60% off)",https://www.etsy.com/listing/1220930941/126canvas-shoulder-bag-canvas-tote-bag?click_key=366baf9a62de2e119723f1cd308496c1ced4b80a%3A1220930941&click_sum=9cb33ff9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=busybabeshoppe+tote&ref=search_grid-165451-1-4&pro=1
